kabko,lat,long
aceh barat,4.4543,96.1527
aceh barat daya,3.7963,97.0068
aceh besar,5.4529,95.4778
aceh jaya,4.7874,95.6458
aceh selatan,3.3115,97.3517
aceh singkil,2.3589,97.8722
aceh tamiang,4.2329,98.0029
aceh tengah,4.4483,96.8351
aceh tenggara,3.3089,97.6982
aceh timur,4.5224,97.6114
aceh utara,4.9786,97.2221
bener meriah,4.7514,96.9525
bireuen,5.1086,96.6638
gayo lues,3.9552,97.3517
nagan raya,4.1248,96.493
pidie,5.0743,95.941
pidie jaya,5.1548,96.1951
simeulue,2.644,96.0256
banda aceh,5.5483,95.3238
langsa,4.4725,97.9756
lhokseumawe,5.1812,97.1413
sabang,5.8926,95.3238
subulussalam,2.7121,97.9157
asahan,2.8175,99.6341
batubara,3.1741,99.5006
dairi,2.8676,98.2651
deli serdang,3.4202,98.7041
humbang hasundutan,2.1989,98.5721
karo,3.1053,98.2651
labuhanbatu,2.344,100.1703
labuhanbatu selatan,1.8799,100.1703
labuhanbatu utara,2.3466,99.8125
langkat,3.8654,98.3088
mandailing natal,0.7432,99.3673
nias,1.0869,97.7417
nias barat,1.0116,97.4814
nias selatan,0.7086,97.8286
nias utara,1.3166,97.3949
padang lawas,1.1187,99.8125
padang lawas utara,1.5759,99.6341
pakpak bharat,2.5135,98.2213
samosir,2.6274,98.7922
serdang bedagai,3.3372,99.0571
simalungun,2.9782,99.2786
tapanuli selatan,1.5775,99.2786
tapanuli tengah,1.8493,98.7041
tapanuli utara,2.0405,99.1013
toba samosir,2.3502,99.2786
binjai,3.6135,98.5025
gunungsitoli,1.2805,97.6147
medan,3.5952,98.6722
padangsidempuan,1.3722,99.273
pematangsiantar,2.97,99.0682
sibolga,1.7368,98.7851
tanjungbalai,2.9662,99.7985
tebing tinggi,3.3263,99.1567
agam,-0.2209,100.1703
dharmasraya,-1.1121,101.6158
kepulauan mentawai,-1.426,98.9245
lima puluh kota,0.0734,100.5296
padang pariaman,-0.5547,100.2152
pasaman,0.2209,100.1703
pasaman barat,0.2213,99.6341
pesisir selatan,-1.7223,100.8903
sijunjung,-0.6647,101.0712
solok,-0.9644,100.8903
solok selatan,-1.4157,101.2524
tanah datar,-0.4797,100.5746
bukittinggi,-0.3039,100.3835
padang,-0.9471,100.4172
padangpanjang,-0.4661,100.3984
pariaman,-0.6257,100.1233
payakumbuh,-0.2298,100.6309
sawahlunto,-0.6841,100.7323
bengkalis,1.4139,101.6158
indragiri hilir,-0.1457,102.9896
indragiri hulu,-0.7361,102.2548
kampar,0.1467,101.1617
kepulauan meranti,0.9209,102.6676
kuantan singingi,-0.4412,101.5248
pelalawan,0.1461,102.2548
rokan hilir,1.6464,100.8
rokan hulu,1.0411,100.4397
siak,0.8119,101.798
dumai,1.6666,101.4002
pekanbaru,0.5071,101.4478
bintan,1.0619,104.5189
karimun,0.7698,103.4049
kepulauan anambas,3.1055,105.6537
lingga,-0.4726,104.4258
natuna,4.0,108.25
batam,1.1301,104.0529
tanjung pinang,0.9186,104.4665
pulau tambelan bintan,1.1216,107.3259
